region,cancer_site,sex,year,incidences_all_ages,incidences_age_under5,incidences_age5to9,incidences_age10to14,incidences_age15to19,incidences_age20to24,incidences_age25to29,incidences_age30to34,incidences_age35to39,incidences_age40to44,incidences_age45to49,incidences_age50to54,incidences_age55to59,incidences_age60to64,incidences_age65to69,incidences_age70to74,incidences_age75to79,incidences_age80to84,incidences_age85to89,incidences_age90and_over
South East of Scotland,All cancer types,All,1996,7561,20,6,7,12,37,77,89,128,158,341,429,538,760,1021,1233,1161,867,451,226
South East of Scotland,All cancer types,All,1997,7116,15,14,3,15,37,71,90,121,163,287,439,562,729,933,1084,1089,829,434,201
South East of Scotland,All cancer types,All,1998,6850,13,9,9,11,26,57,89,150,178,257,411,521,661,898,1134,1093,721,431,181
South East of Scotland,All cancer types,All,1999,6916,9,13,7,9,31,59,83,132,171,222,461,540,707,904,1110,1129,616,507,206
South East of Scotland,All cancer types,All,2000,7126,18,11,8,11,24,50,92,124,178,259,470,565,779,883,1109,1151,776,432,186
South East of Scotland,All cancer types,All,2001,7127,15,13,9,15,31,52,75,134,174,233,438,554,760,933,1157,1075,753,488,218
South East of Scotland,All cancer types,All,2002,7291,16,12,16,17,29,48,88,125,200,279,459,625,771,954,1134,1119,805,392,202
South East of Scotland,All cancer types,All,2003,7420,20,13,12,21,16,51,79,117,183,283,430,639,779,936,1107,1159,898,434,243
South East of Scotland,All cancer types,All,2004,7442,17,10,16,20,31,44,76,117,229,263,460,626,782,1042,1092,1066,915,392,244
South East of Scotland,All cancer types,All,2005,7782,15,6,11,15,31,48,72,151,219,296,436,753,847,1040,1123,1167,857,465,230
South East of Scotland,All cancer types,All,2006,7881,14,6,10,17,33,52,93,128,177,314,492,720,884,1068,1115,1100,906,501,251
South East of Scotland,All cancer types,All,2007,8087,13,8,5,19,39,54,92,123,223,334,464,629,975,1048,1154,1190,901,551,265
South East of Scotland,All cancer types,All,2008,8149,17,9,12,20,33,70,69,134,218,330,468,676,976,1076,1213,1091,912,604,221
South East of Scotland,All cancer types,All,2009,8484,13,7,7,19,39,75,64,112,240,306,503,706,1033,1162,1238,1168,935,598,259
South East of Scotland,All cancer types,All,2010,8432,12,5,6,19,45,60,88,115,218,341,499,665,1054,1136,1205,1166,958,606,234
South East of Scotland,All cancer types,All,2011,8844,12,9,11,18,29,49,77,102,245,368,482,699,1103,1245,1243,1234,1003,610,305
South East of Scotland,All cancer types,All,2012,8741,11,7,5,14,30,52,75,133,193,324,506,711,1039,1318,1273,1185,950,626,289
South East of Scotland,All cancer types,All,2013,8986,18,11,9,20,28,63,94,118,202,372,525,680,967,1338,1313,1217,1054,678,279
South East of Scotland,All cancer types,All,2014,9303,20,13,8,20,35,60,85,97,200,374,564,723,971,1409,1342,1346,1013,691,332
South East of Scotland,All cancer types,All,2015,8973,15,13,7,17,32,70,96,131,184,374,548,693,947,1387,1301,1213,987,677,281
South East of Scotland,All cancer types,All,2016,8759,12,9,12,9,27,61,101,101,204,335,541,667,935,1288,1329,1220,985,633,290
South East of Scotland,All cancer types,All,2017,9012,15,10,13,21,25,43,104,131,184,303,560,731,943,1335,1374,1263,984,636,337
South East of Scotland,All cancer types,All,2018,9465,14,14,8,11,42,49,91,144,181,326,557,805,989,1341,1540,1368,1068,612,305
South East of Scotland,All cancer types,All,2019,9005,16,9,11,22,30,57,88,136,192,299,573,729,929,1282,1439,1300,980,601,312
South East of Scotland,All cancer types,All,2020,8451,20,8,6,10,30,43,93,139,176,290,509,678,853,1160,1346,1235,972,574,309
South East of Scotland,All cancer types,Male,1996,3722,11,3,4,8,18,32,27,46,53,129,169,273,388,544,703,631,441,167,75
South East of Scotland,All cancer types,Male,1997,3414,6,7,3,8,16,22,28,46,46,108,175,264,356,534,571,569,421,178,56
South East of Scotland,All cancer types,Male,1998,3354,8,3,4,8,14,20,32,48,55,95,157,238,357,497,629,587,360,182,60
South East of Scotland,All cancer types,Male,1999,3293,8,8,5,5,12,23,32,40,48,62,158,237,359,518,647,603,246,220,62
South East of Scotland,All cancer types,Male,2000,3438,11,7,2,5,12,28,34,42,54,74,199,243,391,491,641,586,389,176,53
South East of Scotland,All cancer types,Male,2001,3493,10,7,7,7,11,25,23,39,57,81,194,262,395,544,629,566,369,202,65
South East of Scotland,All cancer types,Male,2002,3558,5,7,7,13,12,16,31,45,75,93,161,265,424,534,652,594,402,162,60
South East of Scotland,All cancer types,Male,2003,3637,16,7,8,12,8,18,23,36,57,102,153,300,401,513,638,627,446,194,78
South East of Scotland,All cancer types,Male,2004,3711,6,6,10,6,16,13,23,34,71,88,207,309,424,586,609,582,461,165,95
South East of Scotland,All cancer types,Male,2005,3780,5,5,9,7,16,18,26,48,74,90,159,365,449,558,622,645,416,197,71
South East of Scotland,All cancer types,Male,2006,3922,7,2,9,11,18,24,31,41,58,103,206,342,463,596,635,623,438,234,81
South East of Scotland,All cancer types,Male,2007,3947,6,2,1,6,19,17,29,35,65,113,181,312,532,603,642,630,436,235,83
South East of Scotland,All cancer types,Male,2008,3961,8,4,1,7,15,31,22,52,75,108,168,308,518,574,710,556,453,274,77
South East of Scotland,All cancer types,Male,2009,4208,8,4,2,11,21,26,26,42,76,103,185,342,551,650,698,638,479,257,89
South East of Scotland,All cancer types,Male,2010,4157,7,3,2,11,19,19,28,37,60,126,198,332,570,622,661,639,476,273,74
South East of Scotland,All cancer types,Male,2011,4389,6,6,7,9,16,10,27,38,83,125,175,336,587,720,675,689,509,254,117
South East of Scotland,All cancer types,Male,2012,4317,7,4,0,5,10,17,32,41,62,103,213,350,559,747,717,609,463,260,118
South East of Scotland,All cancer types,Male,2013,4500,9,5,6,11,7,30,34,44,69,129,192,329,539,756,749,632,545,312,102
South East of Scotland,All cancer types,Male,2014,4595,12,10,5,10,14,24,29,41,70,123,210,310,509,798,781,710,517,308,114
South East of Scotland,All cancer types,Male,2015,4472,9,8,3,8,17,23,29,38,57,137,203,335,498,783,722,679,507,304,112
South East of Scotland,All cancer types,Male,2016,4346,8,5,7,3,12,28,37,37,61,112,195,320,480,741,739,622,528,301,110
South East of Scotland,All cancer types,Male,2017,4524,13,5,6,11,15,23,39,41,51,125,206,368,496,695,787,708,508,293,134
South East of Scotland,All cancer types,Male,2018,4600,8,8,4,5,22,15,29,44,52,100,195,358,513,719,858,722,541,276,131
South East of Scotland,All cancer types,Male,2019,4415,10,4,7,15,11,21,29,40,61,102,231,350,472,661,773,707,505,299,117
South East of Scotland,All cancer types,Male,2020,4147,12,5,3,7,12,11,34,45,51,91,184,307,442,642,758,670,489,271,113
South East of Scotland,All cancer types,Female,1996,3839,9,3,3,4,19,45,62,82,105,212,260,265,372,477,530,530,426,284,151
South East of Scotland,All cancer types,Female,1997,3702,9,7,0,7,21,49,62,75,117,179,264,298,373,399,513,520,408,256,145
South East of Scotland,All cancer types,Female,1998,3496,5,6,5,3,12,37,57,102,123,162,254,283,304,401,505,506,361,249,121
South East of Scotland,All cancer types,Female,1999,3623,1,5,2,4,19,36,51,92,123,160,303,303,348,386,463,526,370,287,144
South East of Scotland,All cancer types,Female,2000,3688,7,4,6,6,12,22,58,82,124,185,271,322,388,392,468,565,387,256,133
South East of Scotland,All cancer types,Female,2001,3634,5,6,2,8,20,27,52,95,117,152,244,292,365,389,528,509,384,286,153
South East of Scotland,All cancer types,Female,2002,3733,11,5,9,4,17,32,57,80,125,186,298,360,347,420,482,525,403,230,142
South East of Scotland,All cancer types,Female,2003,3783,4,6,4,9,8,33,56,81,126,181,277,339,378,423,469,532,452,240,165
South East of Scotland,All cancer types,Female,2004,3731,11,4,6,14,15,31,53,83,158,175,253,317,358,456,483,484,454,227,149
South East of Scotland,All cancer types,Female,2005,4002,10,1,2,8,15,30,46,103,145,206,277,388,398,482,501,522,441,268,159
South East of Scotland,All cancer types,Female,2006,3959,7,4,1,6,15,28,62,87,119,211,286,378,421,472,480,477,468,267,170
South East of Scotland,All cancer types,Female,2007,4140,7,6,4,13,20,37,63,88,158,221,283,317,443,445,512,560,465,316,182
South East of Scotland,All cancer types,Female,2008,4188,9,5,11,13,18,39,47,82,143,222,300,368,458,502,503,535,459,330,144
South East of Scotland,All cancer types,Female,2009,4276,5,3,5,8,18,49,38,70,164,203,318,364,482,512,540,530,456,341,170
South East of Scotland,All cancer types,Female,2010,4275,5,2,4,8,26,41,60,78,158,215,301,333,484,514,544,527,482,333,160
South East of Scotland,All cancer types,Female,2011,4455,6,3,4,9,13,39,50,64,162,243,307,363,516,525,568,545,494,356,188
South East of Scotland,All cancer types,Female,2012,4424,4,3,5,9,20,35,43,92,131,221,293,361,480,571,556,576,487,366,171
South East of Scotland,All cancer types,Female,2013,4486,9,6,3,9,21,33,60,74,133,243,333,351,428,582,564,585,509,366,177
South East of Scotland,All cancer types,Female,2014,4708,8,3,3,10,21,36,56,56,130,251,354,413,462,611,561,636,496,383,218
South East of Scotland,All cancer types,Female,2015,4501,6,5,4,9,15,47,67,93,127,237,345,358,449,604,579,534,480,373,169
South East of Scotland,All cancer types,Female,2016,4413,4,4,5,6,15,33,64,64,143,223,346,347,455,547,590,598,457,332,180
South East of Scotland,All cancer types,Female,2017,4488,2,5,7,10,10,20,65,90,133,178,354,363,447,640,587,555,476,343,203
South East of Scotland,All cancer types,Female,2018,4865,6,6,4,6,20,34,62,100,129,226,362,447,476,622,682,646,527,336,174
South East of Scotland,All cancer types,Female,2019,4590,6,5,4,7,19,36,59,96,131,197,342,379,457,621,666,593,475,302,195
South East of Scotland,All cancer types,Female,2020,4304,8,3,3,3,18,32,59,94,125,199,325,371,411,518,588,565,483,303,196
South East of Scotland,Bladder,All,1996,425,0,0,0,0,0,3,0,4,1,10,10,27,47,66,87,73,49,31,17
South East of Scotland,Bladder,All,1997,269,0,0,0,0,0,1,1,2,2,5,16,18,28,46,40,40,42,19,9
South East of Scotland,Bladder,All,1998,215,0,0,0,0,0,0,0,2,0,3,4,9,27,23,41,38,34,26,8
South East of Scotland,Bladder,All,1999,234,1,0,0,0,0,1,0,2,1,1,9,8,19,34,62,40,23,23,10
South East of Scotland,Bladder,All,2000,217,0,0,0,0,0,0,0,1,2,7,2,9,19,30,45,44,37,16,5
South East of Scotland,Bladder,All,2001,206,0,0,0,0,0,0,0,0,1,2,3,16,16,34,27,44,29,26,8
South East of Scotland,Bladder,All,2002,205,0,0,0,0,0,0,0,0,0,3,6,10,14,20,51,39,31,20,11
South East of Scotland,Bladder,All,2003,201,0,0,0,0,0,0,0,0,4,0,6,6,15,25,42,40,35,20,8
South East of Scotland,Bladder,All,2004,230,1,0,0,0,0,0,0,2,0,1,8,17,23,28,34,46,39,18,13
South East of Scotland,Bladder,All,2005,229,0,0,0,0,0,0,0,0,4,5,3,18,25,31,34,37,36,22,14
South East of Scotland,Bladder,All,2006,211,0,0,0,0,0,0,1,2,1,3,3,13,15,27,36,41,42,19,8
South East of Scotland,Bladder,All,2007,204,0,0,0,0,0,1,1,1,0,0,4,15,17,28,37,40,36,16,8
South East of Scotland,Bladder,All,2008,199,0,0,0,0,0,0,0,1,1,4,4,10,16,31,34,31,31,20,16
South East of Scotland,Bladder,All,2009,210,0,0,0,0,0,0,0,0,4,5,5,7,22,31,27,33,41,28,7
South East of Scotland,Bladder,All,2010,226,0,0,0,0,0,0,0,1,2,4,9,10,24,23,29,42,38,32,12
South East of Scotland,Bladder,All,2011,244,0,0,0,0,0,1,0,1,0,3,4,10,27,34,38,41,42,28,15
South East of Scotland,Bladder,All,2012,236,0,0,0,0,0,0,0,0,2,5,7,12,13,25,52,25,54,26,15
South East of Scotland,Bladder,All,2013,248,0,0,0,1,0,0,0,0,2,4,6,9,14,33,34,53,42,32,18
South East of Scotland,Bladder,All,2014,263,0,0,0,0,0,0,0,2,3,5,8,15,23,21,30,55,54,30,17
South East of Scotland,Bladder,All,2015,235,0,0,0,0,0,0,0,0,1,0,9,10,13,37,46,39,39,28,13
South East of Scotland,Bladder,All,2016,264,0,0,0,0,0,0,0,0,1,3,3,12,19,33,39,48,53,39,14
South East of Scotland,Bladder,All,2017,243,0,0,0,0,0,0,0,0,5,6,5,12,12,32,39,49,34,33,16
South East of Scotland,Bladder,All,2018,231,0,0,0,0,0,1,0,1,0,2,6,12,17,28,37,45,51,20,11
South East of Scotland,Bladder,All,2019,221,0,0,0,0,0,0,1,0,1,3,6,13,13,25,36,33,41,32,17
South East of Scotland,Bladder,All,2020,212,0,0,0,0,0,0,0,1,1,3,6,12,16,24,36,37,40,21,15
South East of Scotland,Bladder,Male,1996,297,0,0,0,0,0,2,0,1,1,9,5,25,37,48,58,51,36,19,5
South East of Scotland,Bladder,Male,1997,185,0,0,0,0,0,1,0,2,1,2,14,13,22,31,28,27,26,12,6
South East of Scotland,Bladder,Male,1998,154,0,0,0,0,0,0,0,1,0,2,3,5,21,17,28,29,25,20,3
South East of Scotland,Bladder,Male,1999,151,1,0,0,0,0,1,0,1,0,1,4,5,12,26,50,26,10,9,5
South East of Scotland,Bladder,Male,2000,156,0,0,0,0,0,0,0,1,2,4,2,9,14,26,32,30,24,10,2
South East of Scotland,Bladder,Male,2001,137,0,0,0,0,0,0,0,0,1,2,3,11,12,24,17,27,18,19,3
South East of Scotland,Bladder,Male,2002,140,0,0,0,0,0,0,0,0,0,3,3,9,11,14,36,24,22,14,4
South East of Scotland,Bladder,Male,2003,132,0,0,0,0,0,0,0,0,1,0,5,6,13,19,26,27,23,9,3
South East of Scotland,Bladder,Male,2004,159,1,0,0,0,0,0,0,2,0,1,6,13,16,18,24,33,29,9,7
South East of Scotland,Bladder,Male,2005,152,0,0,0,0,0,0,0,0,2,3,3,13,20,24,25,25,15,13,9
South East of Scotland,Bladder,Male,2006,148,0,0,0,0,0,0,0,2,1,3,2,10,10,17,26,30,33,11,3
South East of Scotland,Bladder,Male,2007,141,0,0,0,0,0,1,1,0,0,0,4,9,11,22,29,26,25,9,4
South East of Scotland,Bladder,Male,2008,132,0,0,0,0,0,0,0,0,0,2,3,7,13,23,27,21,21,9,6
South East of Scotland,Bladder,Male,2009,127,0,0,0,0,0,0,0,0,1,3,3,3,16,20,17,22,26,13,3
South East of Scotland,Bladder,Male,2010,165,0,0,0,0,0,0,0,0,2,2,6,10,21,17,25,29,24,21,8
South East of Scotland,Bladder,Male,2011,168,0,0,0,0,0,1,0,1,0,2,3,7,19,27,26,29,29,16,8
South East of Scotland,Bladder,Male,2012,152,0,0,0,0,0,0,0,0,0,3,5,6,12,17,32,16,37,17,7
South East of Scotland,Bladder,Male,2013,162,0,0,0,0,0,0,0,0,2,3,3,6,9,22,25,32,29,22,9
South East of Scotland,Bladder,Male,2014,177,0,0,0,0,0,0,0,1,0,2,8,11,19,20,20,33,39,17,7
South East of Scotland,Bladder,Male,2015,164,0,0,0,0,0,0,0,0,0,0,6,9,13,32,34,25,21,18,6
South East of Scotland,Bladder,Male,2016,179,0,0,0,0,0,0,0,0,1,3,2,11,9,27,27,30,43,23,3
South East of Scotland,Bladder,Male,2017,171,0,0,0,0,0,0,0,0,3,3,3,10,11,25,29,38,22,20,7
South East of Scotland,Bladder,Male,2018,158,0,0,0,0,0,1,0,0,0,1,1,8,14,23,27,29,34,12,8
South East of Scotland,Bladder,Male,2019,149,0,0,0,0,0,0,0,0,1,1,4,10,7,20,26,21,30,21,8
South East of Scotland,Bladder,Male,2020,145,0,0,0,0,0,0,0,1,1,1,3,7,12,20,26,27,25,12,10
South East of Scotland,Bladder,Female,1996,128,0,0,0,0,0,1,0,3,0,1,5,2,10,18,29,22,13,12,12
South East of Scotland,Bladder,Female,1997,84,0,0,0,0,0,0,1,0,1,3,2,5,6,15,12,13,16,7,3
South East of Scotland,Bladder,Female,1998,61,0,0,0,0,0,0,0,1,0,1,1,4,6,6,13,9,9,6,5
South East of Scotland,Bladder,Female,1999,83,0,0,0,0,0,0,0,1,1,0,5,3,7,8,12,14,13,14,5
South East of Scotland,Bladder,Female,2000,61,0,0,0,0,0,0,0,0,0,3,0,0,5,4,13,14,13,6,3
South East of Scotland,Bladder,Female,2001,69,0,0,0,0,0,0,0,0,0,0,0,5,4,10,10,17,11,7,5
South East of Scotland,Bladder,Female,2002,65,0,0,0,0,0,0,0,0,0,0,3,1,3,6,15,15,9,6,7
South East of Scotland,Bladder,Female,2003,69,0,0,0,0,0,0,0,0,3,0,1,0,2,6,16,13,12,11,5
South East of Scotland,Bladder,Female,2004,71,0,0,0,0,0,0,0,0,0,0,2,4,7,10,10,13,10,9,6
South East of Scotland,Bladder,Female,2005,77,0,0,0,0,0,0,0,0,2,2,0,5,5,7,9,12,21,9,5
South East of Scotland,Bladder,Female,2006,63,0,0,0,0,0,0,1,0,0,0,1,3,5,10,10,11,9,8,5
South East of Scotland,Bladder,Female,2007,63,0,0,0,0,0,0,0,1,0,0,0,6,6,6,8,14,11,7,4
South East of Scotland,Bladder,Female,2008,67,0,0,0,0,0,0,0,1,1,2,1,3,3,8,7,10,10,11,10
South East of Scotland,Bladder,Female,2009,83,0,0,0,0,0,0,0,0,3,2,2,4,6,11,10,11,15,15,4
South East of Scotland,Bladder,Female,2010,61,0,0,0,0,0,0,0,1,0,2,3,0,3,6,4,13,14,11,4
South East of Scotland,Bladder,Female,2011,76,0,0,0,0,0,0,0,0,0,1,1,3,8,7,12,12,13,12,7
South East of Scotland,Bladder,Female,2012,84,0,0,0,0,0,0,0,0,2,2,2,6,1,8,20,9,17,9,8
South East of Scotland,Bladder,Female,2013,86,0,0,0,1,0,0,0,0,0,1,3,3,5,11,9,21,13,10,9
South East of Scotland,Bladder,Female,2014,86,0,0,0,0,0,0,0,1,3,3,0,4,4,1,10,22,15,13,10
South East of Scotland,Bladder,Female,2015,71,0,0,0,0,0,0,0,0,1,0,3,1,0,5,12,14,18,10,7
South East of Scotland,Bladder,Female,2016,85,0,0,0,0,0,0,0,0,0,0,1,1,10,6,12,18,10,16,11
South East of Scotland,Bladder,Female,2017,72,0,0,0,0,0,0,0,0,2,3,2,2,1,7,10,11,12,13,9
South East of Scotland,Bladder,Female,2018,73,0,0,0,0,0,0,0,1,0,1,5,4,3,5,10,16,17,8,3
South East of Scotland,Bladder,Female,2019,72,0,0,0,0,0,0,1,0,0,2,2,3,6,5,10,12,11,11,9
South East of Scotland,Bladder,Female,2020,67,0,0,0,0,0,0,0,0,0,2,3,5,4,4,10,10,15,9,5
South East of Scotland,Bone and articular cartilage,All,1996,13,0,1,3,0,0,0,0,0,0,1,0,1,1,2,2,1,1,0,0
South East of Scotland,Bone and articular cartilage,All,1997,9,0,0,0,1,1,0,1,1,1,1,0,0,0,2,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,All,1998,15,0,0,1,1,1,4,1,1,0,1,1,1,1,0,2,0,0,0,0
South East of Scotland,Bone and articular cartilage,All,1999,11,0,1,1,2,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0
South East of Scotland,Bone and articular cartilage,All,2000,11,0,1,1,2,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0
South East of Scotland,Bone and articular cartilage,All,2001,9,0,0,1,2,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1
South East of Scotland,Bone and articular cartilage,All,2002,7,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,All,2003,15,0,3,2,4,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,All,2004,9,1,1,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,All,2005,8,0,0,0,1,0,0,1,0,0,2,0,1,1,1,0,1,0,0,0
South East of Scotland,Bone and articular cartilage,All,2006,8,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
South East of Scotland,Bone and articular cartilage,All,2007,17,0,0,0,2,1,0,2,0,1,1,1,4,1,0,0,3,1,0,0
South East of Scotland,Bone and articular cartilage,All,2008,9,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0
South East of Scotland,Bone and articular cartilage,All,2009,18,0,0,0,2,3,0,2,2,1,0,3,0,0,1,2,1,1,0,0
South East of Scotland,Bone and articular cartilage,All,2010,7,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0
South East of Scotland,Bone and articular cartilage,All,2011,16,1,0,2,0,0,1,0,0,1,0,2,0,2,2,2,2,1,0,0
South East of Scotland,Bone and articular cartilage,All,2012,13,0,0,1,0,0,0,2,2,1,1,1,0,0,1,2,1,1,0,0
South East of Scotland,Bone and articular cartilage,All,2013,13,0,1,2,1,0,0,0,1,1,1,0,0,3,2,0,0,0,1,0
South East of Scotland,Bone and articular cartilage,All,2014,22,0,1,0,2,1,4,1,0,2,1,2,1,3,2,1,0,1,0,0
South East of Scotland,Bone and articular cartilage,All,2015,13,0,0,0,2,0,0,1,1,1,2,1,2,1,0,0,0,1,1,0
South East of Scotland,Bone and articular cartilage,All,2016,17,0,0,0,1,0,0,2,1,2,0,4,1,1,0,1,3,0,1,0
South East of Scotland,Bone and articular cartilage,All,2017,14,0,1,0,2,1,1,1,0,0,1,0,0,1,3,2,0,0,1,0
South East of Scotland,Bone and articular cartilage,All,2018,10,1,1,0,1,0,0,1,0,0,1,0,1,0,2,1,1,0,0,0
South East of Scotland,Bone and articular cartilage,All,2019,19,0,2,2,2,0,0,1,1,0,0,3,3,0,1,2,2,0,0,0
South East of Scotland,Bone and articular cartilage,All,2020,12,1,0,0,0,0,0,1,0,1,2,0,1,1,1,3,1,0,0,0
South East of Scotland,Bone and articular cartilage,Male,1996,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,1997,8,0,0,0,1,1,0,1,1,1,0,0,0,0,2,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,1998,10,0,0,1,1,1,3,1,0,0,0,1,0,1,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,1999,9,0,1,1,1,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2000,6,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
South East of Scotland,Bone and articular cartilage,Male,2001,8,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
South East of Scotland,Bone and articular cartilage,Male,2002,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2003,6,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2004,5,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2005,5,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2006,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2007,10,0,0,0,1,1,0,0,0,1,1,0,3,1,0,0,2,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2008,6,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2009,13,0,0,0,1,3,0,2,1,1,0,3,0,0,0,0,1,1,0,0
South East of Scotland,Bone and articular cartilage,Male,2010,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
South East of Scotland,Bone and articular cartilage,Male,2011,6,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0
South East of Scotland,Bone and articular cartilage,Male,2012,7,0,0,0,0,0,0,1,2,0,0,1,0,0,1,2,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2013,6,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
South East of Scotland,Bone and articular cartilage,Male,2014,12,0,1,0,1,0,2,0,0,1,0,2,1,3,0,0,0,1,0,0
South East of Scotland,Bone and articular cartilage,Male,2015,9,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0
South East of Scotland,Bone and articular cartilage,Male,2016,11,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,3,0,1,0
South East of Scotland,Bone and articular cartilage,Male,2017,8,0,0,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2018,7,0,1,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2019,13,0,0,1,2,0,0,1,1,0,0,3,3,0,0,1,1,0,0,0
South East of Scotland,Bone and articular cartilage,Male,2020,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,1996,9,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0
South East of Scotland,Bone and articular cartilage,Female,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,1998,5,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,1999,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2000,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
South East of Scotland,Bone and articular cartilage,Female,2001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2002,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2003,9,0,2,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2004,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2005,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2006,5,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
South East of Scotland,Bone and articular cartilage,Female,2007,7,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0
South East of Scotland,Bone and articular cartilage,Female,2008,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
South East of Scotland,Bone and articular cartilage,Female,2009,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2010,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2011,10,1,0,1,0,0,0,0,0,1,0,2,0,1,0,2,2,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2012,6,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
South East of Scotland,Bone and articular cartilage,Female,2013,7,0,1,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2014,10,0,0,0,1,1,2,1,0,1,1,0,0,0,2,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2015,4,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2016,6,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0
South East of Scotland,Bone and articular cartilage,Female,2017,6,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
South East of Scotland,Bone and articular cartilage,Female,2018,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
